"","participant.code","...1","dis3_1","dis3_2","dis0_1","dis0_2","dis03_1","dis03_2","payoff1","seconds_on_page.InitializeParticipant","seconds_on_page.MyPage","seconds_on_page.Part1","seconds_on_page.CQ1","seconds_on_page.count1","seconds_on_page.count2","seconds_on_page.count3","seconds_on_page.count4","seconds_on_page.count5","seconds_on_page.count6","seconds_on_page.count7","seconds_on_page.count8","seconds_on_page.count9","seconds_on_page.count10","seconds_on_page.Result1","seconds_on_page.Part2","seconds_on_page.CQ2","seconds_on_page.Allocation","seconds_on_page.Result2WaitPage","seconds_on_page.Result2"
"1","0lmzg3y5",100,2.5,2.5,2.5,2.5,4,1,2,NA,1343,138,12,25,13,13,10,11,11,8,16,12,10,NA,488,10,54,NA,NA
"2","0tlmcpcc",111,2.5,2.5,2.5,2.5,1,4,2,NA,2995,118,39,29,23,31,19,20,21,15,17,21,22,NA,164,54,77,NA,NA
"3","1cybahcz",105,2.5,2.5,2.5,2.5,4,1,2,NA,1151,146,32,27,23,16,28,19,12,13,19,14,16,NA,421,18,59,NA,NA
"4","1tgkotax",19,2.5,2.5,2.5,2.5,4,1,0,NA,1651,4,145,15,14,10,23,11,10,15,11,11,10,229,199,11,45,0,9
"5","25124ph1",118,2.5,2.5,2.5,2.5,4,1,2,NA,2858,309,27,16,13,7,13,12,20,8,12,9,10,NA,295,12,65,NA,NA
"6","2fii9mqz",29,2.5,2.5,2.5,2.5,4,1,0,NA,3693,19,167,27,20,17,18,19,17,16,22,22,19,322,3,239,57,NA,NA
"7","2gduxvgv",15,2.5,2.5,2.5,2.5,4,1,3,NA,1016,148,12,21,15,21,12,15,16,19,17,13,13,301,228,11,58,113,33
"8","2ji3opgl",30,2.5,2.5,2.5,2.5,2.5,2.5,0,NA,3376,344,30,16,11,14,11,11,12,10,16,17,18,371,221,24,28,22,9
"9","2xoax65l",69,2.5,2.5,2.5,2.5,1.5,3.5,3,NA,1410,133,24,33,24,22,19,20,23,14,23,23,19,229,190,29,184,1,NA
"10","35nbszv2",102,2.5,2.5,2.5,2.5,4,1,2,NA,1294,3,156,17,19,16,13,12,13,12,14,12,14,NA,459,11,52,NA,NA
"11","3ljp4d1i",6,2.5,2.5,2.5,2.5,4,1,3,NA,1375,146,14,33,23,21,23,25,24,18,22,18,28,212,242,15,47,23,18
